average_line_count,average_param_count,average_var_count,class_implements_last_name,class_last_name,class_last_name_is_different,class_name,implements,implements_name,method_count,project_name,total_line_count,total_param_count,total_var_count,pattern
0,1,1,,observer,TRUE,PreferencesObserver,,,1,TurtlePlayer,0,1,1,Observer
1,1,1,,builder,TRUE,PdqRouteBuilder,FALSE,,1,coala,1,1,1,Builder
7,9,9,,builder,TRUE,DocumentEntryBuilder,FALSE,,3,coala,14,18,18,Builder
13.666666666666666,4,4,,builder,TRUE,CDABuilder,FALSE,,4,coala,41,12,12,Builder
5.5,5,5,builder,impl,TRUE,PdqMessageBuilderImpl,TRUE,Builder,6,coala,33,30,30,Builder
5.5,5,5,builder,impl,TRUE,PdqMessageBuilderImpl,TRUE,Builder,6,coala,33,30,30,Builder
1.5,1.5,1.5,,decorator,TRUE,BuildConsoleStreamDecorator,FALSE,,5,cdt,6,6,6,Decorator
1.3571428571428572,1.7857142857142858,1.7857142857142858,listener,proxy,TRUE,AbstractCExtensionProxy,TRUE,Listener,17,cdt,19,25,25,Proxy
2,1.7222222222222223,1.7222222222222223,listener,proxy,TRUE,PathEntryStoreProxy,TRUE,Listener,29,cdt,36,31,31,Proxy
3.3181818181818183,3.4545454545454546,3.4545454545454546,,visitor,TRUE,CStructureCreatorVisitor,FALSE,,29,cdt,73,76,76,Visitor
5.875,5.65,5.65,builder,builder2,TRUE,CModelBuilder2,TRUE,Builder,61,cdt,235,226,226,Builder
1,0,0,imitty,adapter,TRUE,MITTYAdapter,TRUE,IMITTY,5,cdt,3,0,0,Adapter
3.8,3.8,3.8,listener,adapter,TRUE,DelegatingDragAdapter,TRUE,Listener,8,cdt,19,19,19,Adapter
1.8157894736842106,1.631578947368421,1.631578947368421,ipdom,proxy,TRUE,PDOMProxy,TRUE,IPDOM,100,cdt,69,62,62,Proxy
2,2,2,listener,adapter,TRUE,BasicSelectionTransferDragAdapter,TRUE,Listener,5,cdt,10,10,10,Adapter
1,1,1,,visitor,TRUE,CPPASTAllVisitor,FALSE,,17,cdt,17,17,17,Visitor
2.6,2.4,2.4,,visitor,TRUE,IndexerASTVisitor,FALSE,,16,cdt,39,36,36,Visitor
1,1,1,visitor,visitor,TRUE,ASTGenericVisitor,TRUE,Visitor,40,cdt,40,40,40,Visitor
2.2432432432432434,1.6486486486486487,1.6486486486486487,,visitor,TRUE,ChangeGeneratorWriterVisitor,FALSE,,39,cdt,83,61,61,Visitor
